Energy outputs   (0.0703 MeV RMS for JP fit) 
       exp      error        BAB         JP       Diff 
      4387.6570       1357.5597        865.3516       1849.4889       2662.1489       3964.4348       2312.3369      -3260.5646       1510.2455       1590.7400      -2590.5383       1019.0301      -2102.5220       1829.8866        547.0287        254.2082        962.6963       2006.4674        519.7017       -937.5693       -674.7469       -934.5521        512.1652       1274.0371        769.2751        651.4687        232.0088        192.5499       1274.8727       -941.0330       -846.1884        493.1129        444.7235       1419.7439       -857.6149         80.6878       1388.5294        557.3661        150.2058       1897.5815       -300.6187       2490.2673        748.7934        802.4276        489.9461       4419.8813       -289.5663        122.4390       1831.3717        175.0569        950.1326       -167.6151       -417.5169       1185.4480       -179.6112       1510.7771        660.4535       1199.2670        566.6983       -745.0154       1599.9156        434.1230       1377.4607       1394.0906       -719.5633       1243.2070       1047.0994       1344.2491        800.2493
      4060.3176       1474.6264        540.9872       2069.2394       1987.6933       2312.3369       2521.8952      -2807.6631        889.9954       1566.4206      -2019.6338       1305.8636      -2598.1487       1870.7103        856.5587        203.6119        630.1135       2397.6316        246.9332       -635.3553       -396.4852       -510.2566        451.4863       1587.4888        544.0717        356.3961        -77.5303        166.9903        708.7232       -718.8237       -746.7964        743.8639        623.4227       1103.4072       -479.4627        182.6051        855.2997        707.8683        132.4532       2265.4568       -224.2306       1596.8033        963.4373        681.8692        756.0884       4780.4125       -183.2516         72.3197       2604.9326        242.1103       1209.6296       -218.7031       -431.1572       1411.7534       -185.9517       1787.0655        760.8581       1525.8466        426.8741       -778.3659       1809.9211        440.4062       1494.6940       1778.5261       -692.5287       1560.6626       1238.6528       1820.9913       1105.5555
     -7584.6544      -4080.0038      -2413.0911      -4285.7473      -3144.2471      -3260.5646      -2807.6631       5660.0915      -1781.8303      -1738.2019       4073.4206      -2081.5407       4394.1819      -4880.0899      -2374.7080       -185.7565      -3104.8582      -4609.0188       -320.9771        832.1882        475.1523        679.8222       -671.7462      -4169.5948       -596.4364       -313.3693       -103.9386       -966.7926      -4453.4771        814.5744       1076.0294       -638.0552      -1303.5801      -4059.1521        664.7329        414.2675      -4801.7892       -864.7520       -802.9156      -5779.0496        260.8101      -7086.1211      -2018.1286      -1570.6117      -1668.3768      -8801.5044        219.8906       -302.6667      -7064.4252      -1163.0685      -2520.1190        260.0152       1083.0008      -3207.5357        534.2696      -4578.1546      -2302.2405      -3280.4370      -1206.1878       1903.9004      -4305.1614      -1237.1641      -4222.1376      -3623.5000       1610.0909      -3594.4681      -3494.0645      -3663.5778      -2672.2119
      7386.3714       5474.5424       2218.8925       6477.5292       1846.7911       1510.2455        889.9954      -1781.8303       1969.8712        836.3822      -1622.8996       1138.0143      -1183.4946       1629.5544       3431.9138         97.1236       3055.0892       5096.5494        145.1448       -166.8557       -131.7561       -297.2037         56.9816       5838.5305         45.1478         75.3391         27.8514        658.1826       4790.7059       -232.9585       -152.4984       -120.6168       2895.1473       6627.9530       -230.7712       -653.0095       5091.6665         49.5492       2088.1518       8054.9870         -7.9327       6837.6708       4093.7496        606.4627       4054.2669       9311.9707        -38.6158         79.9365      10310.0995        864.2681       5228.7376        -97.2927       -218.5698       5687.1785        -73.5996       5093.9784       3775.4827       6474.3851        510.5386       -384.1728       7126.4139        165.9133       6184.0056       7587.3313       -553.9639       7874.0659       5500.4935       8651.0986       6988.0056
      2294.9483       1263.8768        438.8684       1546.9584       1126.9541       1590.7400       1566.4206      -1738.2019        836.3822       1170.2463      -1472.0574        896.6845      -1700.3782       1285.7238        582.7562        140.2941        477.3777       1147.7363        154.4391       -339.1788       -232.2231       -359.2294        305.6255       1081.4325        266.5737        250.6036        -16.1557         72.6665        571.0389       -463.5266       -373.1395        454.5955        476.6986       1221.4561       -336.9590         82.1365        728.9504        461.1999        123.2821       1527.7226        -80.2675       1115.3790        709.9705        446.5612        603.1658       2344.5288        -63.8550         58.0381       1805.1410         93.8987        897.2151       -144.7960       -240.7385       1120.3152        -51.7863       1262.1539        575.0872       1115.3882        276.8381       -454.5074       1429.6884        232.2152       1046.8828       1339.6866       -413.6436       1301.5287        940.6269       1434.3036        882.7894
     -4702.8325      -3187.1909      -1939.3534      -3113.8046      -2027.4956      -2590.5383      -2019.6338       4073.4206      -1622.8996      -1472.0574       3279.3321      -1645.7592       3390.1106      -3635.7343      -1646.7702       -142.2898      -2479.7913      -2494.6258       -240.4364        541.8516        334.9165        587.2589       -554.1178      -2927.9724       -361.6980       -241.5526       -175.1980       -682.5382      -3529.4352        568.4296        687.1944       -438.7328       -896.2235      -3510.5190        551.6283        364.7064      -3933.3919       -666.5503       -525.0265      -4061.9339        119.4414      -5507.9134      -1382.5658      -1222.3468      -1156.1400      -4861.4499         73.9759       -263.6508      -5008.9299       -785.2083      -1738.5894        198.3897        862.4263      -2401.2315        438.5732      -3482.9370      -1657.6073      -2274.4364       -939.4068       1522.5387      -3278.1230       -966.2765      -3222.5018      -2542.9852       1198.6510      -2667.0381      -2553.8917      -2588.8828      -1930.2547
      5241.2343       3561.5090       3261.0072       5062.2509       1379.4429       1019.0301       1305.8636      -2081.5407       1138.0143        896.6845      -1645.7592       2734.4459      -2715.6636       1949.7697       2208.2757         47.8295       4419.6414       3548.8585         61.8038       -163.9332        -93.7964       -167.4255        213.5505       3734.4472         62.2341         26.8347         10.1424        485.8955       7121.0488       -148.6814       -258.9207       -187.1402       2140.0603       3924.9494       -156.2577       -278.4883       7292.9713        169.3399       1538.2802       5183.8445        -42.5970      10153.8013       3048.1642        649.2690       2910.2254       6478.2150        -12.8730        104.1832       6622.6358        568.8582       3860.8670       -151.0115       -858.6198       4180.1290       -504.4808       7488.9939       3066.6875       4814.6891        511.8015      -1565.1373       5344.6018       1093.2740       7658.9113       5617.2475       -803.0312       5549.5388       4505.2985       6317.5779       4932.2822
     -4044.1262      -2589.7248      -2570.2434      -3212.5572      -1783.3161      -2102.5220      -2598.1487       4394.1819      -1183.4946      -1700.3782       3390.1106      -2715.6636       4949.1908      -4066.5302      -1262.8683       -117.7385      -3293.2459      -2056.7988       -164.0525        490.2426        271.4209        439.6401       -727.9683      -2208.3889       -348.6242       -177.4236        -90.1141       -491.1331      -4826.0536        527.8663        778.2910       -625.7757       -863.8325      -2401.6439        440.6082         12.8176      -5240.6155       -960.8670       -294.2835      -3080.9632        109.8626      -7372.1300      -1313.0893      -1256.1141      -1104.0866      -3981.2203         39.3255       -262.1029      -3813.3519       -570.8488      -1646.9796        276.0195       1384.6256      -2327.8865        907.6636      -4863.4052      -1664.2072      -2178.4571       -887.4113       2387.8083      -3220.4676      -1520.0947      -4386.7758      -2469.6409       1383.2228      -2485.4301      -2722.6377      -2487.9671      -1943.6717
      6915.9190       4714.8706       2625.4593       8609.3243       2110.2524       1829.8866       1870.7103      -4880.0899       1629.5544       1285.7238      -3635.7343       1949.7697      -4066.5302       6079.4472       2790.3172         64.9605       3410.5165       4412.1859        139.2277       -344.6442       -204.8842       -306.8786        689.5224       4708.3136        244.2848        110.3692        109.3051        365.6672       5102.8285       -387.1649       -514.4778        781.0921       3400.3782       5011.1635       -328.4953         -0.2225       5501.4705        911.2722       2622.8799       6571.5727        -61.9811       7557.5130       4866.2169       1115.1021       4744.7940       8118.9803        -21.2009        262.0450       8340.5807        347.9693       6195.7767       -207.0695       -685.8401       6882.4384       -157.7879       7428.1989       5649.6738       7652.2229        771.2273      -1238.2049       8682.8198        786.7968       7630.5863       8950.9336      -1120.4359       9203.1250       8419.5593      10047.0605       8951.3906
     20495.6263      14076.1601       5240.6628      17850.6999       3737.6178        547.0287        856.5587      -2374.7080       3431.9138        582.7562      -1646.7702       2208.2757      -1262.8683       2790.3172       9889.6461         15.9464       7432.8121      15931.2836         -7.7048        203.3505         81.2763        159.1646       -432.2243      16324.1037       -249.3799       -417.3934       -390.9380       1771.0108      12252.8941         64.9827         19.8778       -627.7344       8496.9124      16169.1657        208.8787      -1711.3843      12377.8753       -360.5406       6170.3438      22503.5851         25.9452      17099.8571      11944.2626        853.6410      11755.5484      28302.4657       -112.4936          7.2973      29192.0553       2512.0956      15230.8175       -151.8230       -112.6895      15592.6722         32.8636      13490.8381      10664.1223      18836.8717        845.5788       -164.3128      19352.9313        -95.6444      16933.5777      21983.9344      -1064.6711      21936.0634      15418.1245      25237.9225      20279.6535
